songid,songname,length,popularity
79jaa2QGadIViTda6v5Q31,"Never Scared (feat. Cam'ron, Jadakiss & Busta Rhymes) - The Takeover Remix - Club Mix",319,45
2fT7jfIwN62hWmhVcfP1Cg,Rep Yo City,312,36
6ro8Rx5kXXiIFmjPTlJjAI,"Push That N----, Push That H--",265,34
74ozBdPG4zfj1hv7EF5hwP,Ooh Na Na Naa Naa,289,34
4MY1LZRZOblNUawGvCehBn,Knockin Heads Off,317,25
47FjToieQbxqNnuiRRQtym,Real Big,228,51
2bT4MPXE908eg5OYP40DAw,Naw Meen,235,28
5s992kwS2vr9SgrQsBootT,Bia' Bia',301,41
6uWliNGZEZKGMPwSwccdjG,I Don't Give A...,269,51
59rtiYOPgMEDf3yPEfU2la,Still Tippin' (feat. Slim Thug and Paul Wall),271,64
64NdPYarVxVmHcYYXDekg3,Turning Headz,191,37
7xVwhsuZTUWhIyFeDH6rYr,Next to You,221,60
5vWwuFTSoPdyY8rH1mui8W,My 64 (feat. Snoop Dogg and Bun B),310,46
5Gg42VWorPsILbSkHbwZ5F,Boi! - Young Problemz & Mike Jones,257,22
0DW5anNzTO7h0OlKqFsVQ6,Like A Pimp,254,60
5CWyE2OcZI1HVnHBh4RrKF,Play,230,52
4zh5aVAWAKkeXTmXPkQ7uL,Stuntin' Is A Habit,220,0
5TpaWJKnuyA4MjzAbFXSTQ,Damn! (feat. Lil' Jon) - Club Mix,298,56
2MbdDtCv5LUVjYy9RuGTgC,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",227,70
2771LMNxwf62FTAdpJMQfM,Bodak Yellow,223,55
2wAJTrFhCnQyNSD3oUgTZO,Work Out,235,82
6IaieqiCVvsNvEt6Y7yOFa,Ball For Me (feat. Nicki Minaj),206,65
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),210,84
4jtyUzZm9WLc2AdaJ1dso7,0 To 100 / The Catch Up,275,70
49zD0wr2S3d0lZPib0K4e1,F*ck Up Some Commas,237,66
3erAiWBiKsbVG39cqCrsI0,Human,199,0
5yorXJWdBan1Vlh116ZtQ7,WHOLE LOTTA MONEY,156,57
4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,219,28
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,290,88
4xkOaSrkexMciUUogZKVTS,Till I Collapse,297,84
5IweeQZdY5XEzStLzUJG5t,Purple Pills,304,67
7zl7kehxesNEo2pYkKXTSe,Killer (feat. Jack Harlow & Cordae) - Remix,236,67
1jo3TwNGCXfNdB5uba3ZVv,Killshot,253,71
561jH07mF1jHuk7KlaeF0s,Mockingbird,250,87
3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,284,86
1dWimOlV5KUHDerWZVDv5l,My Name Is,268,55
440JHgcmlgu65MbKBg20ba,I Know What You Want (feat. Flipmode Squad),324,54
72KLMEKkWDJfqQ2iiwDqHa,Fine Apple - Lemon & Lime Remix,152,45
72cKCgYH6RZv4AcfEJ9S8o,Float Away,238,29
5l4WHxaPQ4gVeGhYJQnsGr,Fuck Everybody,305,22
36N2bDLedBsK9VylCszIwH,Country Sh*t (Remix),242,49
65ES1qwOB577ZnTkizMXJJ,HUMBLE. - SKRILLEX REMIX,156,69
1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),171,74
2KpOQtEJ1twefxHOt4JwfF,I Can Tell,210,0
21jGcNKet2qwijlDFuPiPb,Circles,215,86
4BbKdA6szsCVCpLtlKKbX4,Live by It,171,33
4w7lBzX0EcDuy8tQLQvjC2,Scatter Brain (feat. Ludacris & JID),209,58
0mb3uDw5vfFUcZfJYFOMRu,Gifted (feat. Roddy Ricch),168,49
7zjEyeBsaw9gV0jofJLfOM,Livin It Up (with Post Malone & A$AP Rocky),210,64
428JUvntvW20r9hOOpFAao,Slide,236,58
4iZdCChpb4nEH2jirUH90e,Get Big,225,9
19OHDib8Jrqi3o2nm5lzdA,My Nigga,235,68
5n4Ws20sveldU4wt5UT4Ej,Cadillac On 22's,263,43
69bHJ9qs5FrUJbKP8xU8uZ,Disco Inferno,214,75
4MMqj7HaLL8BphbBZnlsdq,I Like That,236,61
0odHj0qIf86vHBsXB30IkZ,So High (feat. Ghost Loft),249,65
1YR9iNGXtsbrd8deR9ULDD,Jesus Is The One (I Got Depression),112,50
3aGibUHhQyBsyumYHylw0K,Backseat Freestyle,212,67
5K5dQsYdSdo2LKdepxbYAd,Gettin' It (feat. Parliament Funkadelic),341,60
