artistid,songid
1URnnhqYAYcrqrcwql10ft,5eqK0tbzUPo2SoeZsov04s
246dkjvS1zLTtiykXe5h60,1OmcAT5Y8eg5bUPv9qJT4R
1URnnhqYAYcrqrcwql10ft,1OmcAT5Y8eg5bUPv9qJT4R
3wyVrVrFCkukjdVIdirGVY,6foxplXS0YEq8cO374Lty4
7iZtZyCzp3LItcw1wtPI3D,4scpF6J5uMBvoh6sFB7EL1
1RyvyyTE3xzB2ZywiAwp0i,7EiZI6JVHllARrX9PUvAdX
1Xyo4u8uXC1ZmMpatF05PJ,7EiZI6JVHllARrX9PUvAdX
2YZyLoL8N0Wb9xBt1NhZWg,6REbwUNlppTfcnV4d4ZoZi
7pFeBzX627ff0VnN6bxPR4,275a9yzwGB6ncAW4SxY7q3
6oMuImdp5ZcFhWP0ESe6mG,6n4U3TlzUGhdSFbUUhTvLP
3TVXtAsR1Inumwj472S9r4,6n4U3TlzUGhdSFbUUhTvLP
246dkjvS1zLTtiykXe5h60,7dt6x5M1jzdTEt8oCbisTK
2RDOrhPqAM4jzTRCEb19qX,3QybPutx0Tjk472bBKjNWn
02kJSzxNuaWGqwubyUba0Z,6jmTHeoWvBaSrwWttr8Xvu
253mZZhgkLOjbAuogZiNbc,6jmTHeoWvBaSrwWttr8Xvu
5LHRHt1k9lMyONurDHEdrp,5IaHrVsrferBYDm0bDyABy
4DdkRBBYG6Yk9Ka8tdJ9BW,5IaHrVsrferBYDm0bDyABy
5K4W6rqBFWDnAN6FQUkS6x,4S8d14HvHb70ImctNgVzQQ
3wyVrVrFCkukjdVIdirGVY,4S8d14HvHb70ImctNgVzQQ
1cNDP5yjU5vjeR8qMf4grg,7eBqSVxrzQZtK2mmgRG6lC
3Fl1V19tmjt57oBdxXKAjJ,3oh6SCCeLuXhFpEyepla6G
1Xyo4u8uXC1ZmMpatF05PJ,7fBv7CLKzipRk6EC6TWHOB
1Xyo4u8uXC1ZmMpatF05PJ,7MXVkk9YMctZqd1Srtv4MB
4tZwfgrHOc3mvqYlEYSvVi,7MXVkk9YMctZqd1Srtv4MB
02kJSzxNuaWGqwubyUba0Z,2Xqd0wUttjueBfdcltADOv
13ubrt8QOOCPljQ2FL1Kca,2Xqd0wUttjueBfdcltADOv
4kYSro6naA4h99UJvo89HB,2Xqd0wUttjueBfdcltADOv
7jVv8c5Fj3E9VhNjxT4snq,53CJANUxooaqGOtdsBTh7O
1Zatb2YN4erBOoSivOXc0o,2JI71GHwq2LN8mtq3iCLYo
246dkjvS1zLTtiykXe5h60,3swc6WTsr7rl9DqQKQA55C
7c0XG5cIJTrrAgEC3ULPiq,3swc6WTsr7rl9DqQKQA55C
137W8MRPWKqSmrBGDBFSop,2JzZzZUQj3Qff7wapcbKjc
6VuMaDnrHyPL1p4EHjYLi7,2JzZzZUQj3Qff7wapcbKjc
02kJSzxNuaWGqwubyUba0Z,40YcuQysJ0KlGQTeGUosTC
64M6ah0SkkRsnPGtGiRAbb,40YcuQysJ0KlGQTeGUosTC
7dGJo4pcD2V6oG8kP0tJRR,5Z01UMMf7V1o0MzF86s6WJ
6vXTefBL93Dj5IqAWq6OTv,3B54sVLJ402zGa6Xm4YGNe
1zNqQNIdeOUZHb8zbZRFMX,3B54sVLJ402zGa6Xm4YGNe
2kCcBybjl3SAtIcwdWpUe3,4jvjzW7Hm0yK4LvvE0Paz9
15UsOTVnJzReFVN1VCnxy4,4jvjzW7Hm0yK4LvvE0Paz9
1Xyo4u8uXC1ZmMpatF05PJ,22VdIZQfgXJea34mQxlt81
7iZtZyCzp3LItcw1wtPI3D,1Ser4X0TKttOvo8bgdytTP
7hJcb9fa4alzcOq3EaNPoG,5HQVUIKwCEXpe7JIHyY734
137W8MRPWKqSmrBGDBFSop,5HQVUIKwCEXpe7JIHyY734
0du5cEVh5yTK9QJze8zA0C,5HQVUIKwCEXpe7JIHyY734
31W5EY0aAly4Qieq6OFu6I,1f5cbQtDrykjarZVrShaDI
46SHBwWsqBkxI7EeeBEQG7,1f5cbQtDrykjarZVrShaDI
6qqNVTkY8uBg9cP3Jd7DAH,2Fxmhks0bxGSBdJ92vM42m
246dkjvS1zLTtiykXe5h60,3KkXRkHbMCARz0aVfEt68P
1zNqQNIdeOUZHb8zbZRFMX,3KkXRkHbMCARz0aVfEt68P
46SHBwWsqBkxI7EeeBEQG7,4Q3N4Ct4zCuIHuZ65E3BD4
4O15NlyKLIASxsJ0PrXPfz,2ANLarE8yHVsLWW21nj79M
7d3WFRME3vBY2cgoP38RDo,7oJrVhiTPZGBXWPwhxjy9S
55Aa2cqylxrFIXC767Z865,4dASQiO1Eoo3RJvt74FtXB
137W8MRPWKqSmrBGDBFSop,4dASQiO1Eoo3RJvt74FtXB
53XhwfbYqKCa1cC15pYq2q,4dASQiO1Eoo3RJvt74FtXB
3NPpFNZtSTHheNBaWC82rB,4dASQiO1Eoo3RJvt74FtXB
4xRYI6VqpkE3UwrDrAZL8L,4dASQiO1Eoo3RJvt74FtXB
7c0XG5cIJTrrAgEC3ULPiq,4dASQiO1Eoo3RJvt74FtXB
246dkjvS1zLTtiykXe5h60,75ZvA4QfFiZvzhj2xkaWAh
5jJjvmEwRr8epuGZq4eUUa,1qzckO538IWjqa7eCQdSJ4
4r63FhuTkUYltbVAg5TQnk,1qzckO538IWjqa7eCQdSJ4
37hAfseJWi0G3Scife12Il,1qzckO538IWjqa7eCQdSJ4
0wHeZY93Ede0g1jXaWsiFS,1xMvdOFQaql3EBkHmuh2TK
1gPhS1zisyXr5dHTYZyiMe,03ERnTvSV5fy8WAyvA4uNP
3X0G2SCuepKPCWJp95w8yz,4Js2MCBgl8wupEjKewj0kT
4MCBfE4596Uoi2O4DtmEMz,2Y0wPrPQBrGhoLn14xRYCG
64KEffDW9EtZ1y2vBYgq8T,2Y0wPrPQBrGhoLn14xRYCG
5bgfj5zUoWpyeVatGDjn6H,6225vlQNgif1W5dE5KN6Y6
3HiuzBlSW7pGDXlSFMhO2g,5QbzvnhnS0CZMHjFGIwfHd
137W8MRPWKqSmrBGDBFSop,5QbzvnhnS0CZMHjFGIwfHd
6z1cicLMt9XArxN10q7m8a,4P6BuLsqtg5uISdE77ypI9
5LHRHt1k9lMyONurDHEdrp,4P6BuLsqtg5uISdE77ypI9
6Ha4aES39QiVjR0L2lwuwq,4knL4iPxPOZjQzTUlELGSY
0hCNtLu0JehylgoiP8L4Gh,4knL4iPxPOZjQzTUlELGSY
0jnsk9HBra6NMjO2oANoPY,2LEF1A8DOZ9wRYikWgVlZ8
7z5WFjZAIYejWy0NI5lv4T,0vzSAyinyA619ZbrOaAi04
3TVXtAsR1Inumwj472S9r4,2BcMwX1MPV6ZHP4tUT9uq6
1URnnhqYAYcrqrcwql10ft,2BcMwX1MPV6ZHP4tUT9uq6
08Ld63UgKrJ0nZnCkzHtzc,2BcMwX1MPV6ZHP4tUT9uq6
1ZwdS5xdxEREPySFridCfh,0Z2J91b2iTGLVTZC4fKgxf
2jp3Fk52x0HbymU0lNYbSC,0Z2J91b2iTGLVTZC4fKgxf
6AgTAQt8XS6jRWi4sX7w49,18vXApRmJSgQ6wG2ll9AOg
6cK3NBO6uP7hh0oyuVELFl,2etHQJxIbV0soyPhelVs9Y
5cj0lLjcoR7YOSnhnX0Po5,2etHQJxIbV0soyPhelVs9Y
0ZrpamOxcZybMHGg1AYtHP,0n4bITAu0Y0nigrz3MFJMb
4OBJLual30L7gRl5UkeRcT,0n4bITAu0Y0nigrz3MFJMb
2RdwBSPQiwcmiDo9kixcl8,0n4bITAu0Y0nigrz3MFJMb
0du5cEVh5yTK9QJze8zA0C,7MAibcTli4IisCtbHKrGMh
3jK9MiCrA42lLAdMGUZpwa,7MAibcTli4IisCtbHKrGMh
6PvvGcCY2XtUcSRld1Wilr,7MAibcTli4IisCtbHKrGMh
2LIk90788K0zvyj2JJVwkJ,4DuUwzP4ALMqpquHU0ltAB
181bsRPaVXVlUKXrxwZfHK,5v4GgrXPMghOnBBLmveLac
6vWDO969PvNqNYHIOW5v0m,5v4GgrXPMghOnBBLmveLac
3TVXtAsR1Inumwj472S9r4,0k1WUmIRnG3xU6fvvDVfRG
1RyvyyTE3xzB2ZywiAwp0i,0k1WUmIRnG3xU6fvvDVfRG
50co4Is1HCEo8bhOyUWKpn,0k1WUmIRnG3xU6fvvDVfRG
45TgXXqMDdF8BkjA83OM7z,591ks2A0o7ratTpiRdI7M6
79Sxz4bJeibdabevi9PAVi,2OcLr0onQU36t5oQ5NTMpy
372IgXgnCt4wlfumrMTIOs,2OcLr0onQU36t5oQ5NTMpy
0RESbWvOMyua0yuyVrztJ5,6SDAOIs8wLJvhEXcIMgm5f
3DELNHPLdJgXkDHOTt3ok8,5GPm7PsMQwceQvfYlGXcCt
7hJcb9fa4alzcOq3EaNPoG,5GPm7PsMQwceQvfYlGXcCt
3Mcii5XWf6E0lrY3Uky4cA,5GPm7PsMQwceQvfYlGXcCt
3crnzLy8R4lVwaigKEOz7V,5GPm7PsMQwceQvfYlGXcCt
4sb7rZNN93BSS6Gqgepo4v,5GPm7PsMQwceQvfYlGXcCt
3Mcii5XWf6E0lrY3Uky4cA,5880eYQmXx3c3oD22IljIt
1D4bP2qFi4EcC4ZdBgH5F8,3zpV1pF29S3jPGNY1J8HZo
52dJMOJVjZ8ArXL4dDJ3Nd,4y35lEbyqHAuVEVMe4waSE
6MPCFvOQv5cIGfw3jODMF0,02kDW379Yfd5PzW5A6vuGt
2hlmm7s2ICUX0LVIhVFlZQ,02kDW379Yfd5PzW5A6vuGt
4Gso3d4CscCijv0lmajZWs,02kDW379Yfd5PzW5A6vuGt
7rkW85dBwwrJtlHRDkJDAC,02kDW379Yfd5PzW5A6vuGt
5SXuuuRpukkTvsLuUknva1,7Bpx2vsWfQFBACRz4h3IqH
2YZyLoL8N0Wb9xBt1NhZWg,7Bpx2vsWfQFBACRz4h3IqH
2jku7tDXc6XoB6MO2hFuqg,33OeHNGJA124QytVD0BeQK
4r63FhuTkUYltbVAg5TQnk,33OeHNGJA124QytVD0BeQK
6C1ohJrd5VydigQtaGy5Wa,4TIqzdAssasqx3DAe6cG9J
5f7VJjfbwm532GiveGC0ZK,4TIqzdAssasqx3DAe6cG9J
6mfQpFxRlsPPBfxmowxIhY,627IFsuW7eFp9Mj5dg5cQr
5GlqPEwXzTqMLZhXM6QscB,627IFsuW7eFp9Mj5dg5cQr
1ffPqUXh4nXQQ4l0fu7s54,627IFsuW7eFp9Mj5dg5cQr
2pGoUgClqb0BWyjIxwnY8I,627IFsuW7eFp9Mj5dg5cQr
